,0
0,Mid-Terrace
1,Detached
2,End-Terrace
3,Semi-Detached
4,Enclosed Mid-Terrace
5,Enclosed End-Terrace
6,"['Mid-Terrace' 'End-Terrace' 'Detached' 'Semi-Detached'
 'Enclosed Mid-Terrace' 'Enclosed End-Terrace' nan]"
7,"['Mid-Terrace' 'End-Terrace' 'Detached' 'Semi-Detached'
 'Enclosed Mid-Terrace' 'Enclosed End-Terrace' nan]"
8,Mid-Terrace
9,End-Terrace
10,Detached
11,Semi-Detached
12,Enclosed Mid-Terrace
13,Enclosed End-Terrace
14,Semi-Detached
15,Detached
16,Mid-Terrace
17,End-Terrace
18,Enclosed End-Terrace
19,Enclosed Mid-Terrace
20,Semi-Detached
21,Detached
22,Mid-Terrace
23,End-Terrace
24,Enclosed End-Terrace
25,Enclosed Mid-Terrace
26,Semi-Detached
27,Detached
28,Mid-Terrace
29,End-Terrace
30,Enclosed End-Terrace
31,Enclosed Mid-Terrace
32,Semi-Detached
33,Detached
34,Mid-Terrace
35,End-Terrace
36,Enclosed End-Terrace
37,Enclosed Mid-Terrace
38,Semi-Detached
39,Detached
40,Mid-Terrace
41,End-Terrace
42,Enclosed End-Terrace
43,Enclosed Mid-Terrace
44,Semi-Detached
45,Detached
46,Mid-Terrace
47,End-Terrace
48,Enclosed End-Terrace
49,Enclosed Mid-Terrace
50,Semi-Detached
51,Detached
52,Mid-Terrace
53,End-Terrace
54,Enclosed End-Terrace
55,Enclosed Mid-Terrace
56,Semi-Detached
57,Detached
58,Mid-Terrace
59,End-Terrace
60,Enclosed End-Terrace
61,Enclosed Mid-Terrace
62,Semi-Detached
63,Detached
64,Mid-Terrace
65,End-Terrace
66,Enclosed End-Terrace
67,Enclosed Mid-Terrace
68,Semi-Detached
69,Detached
70,Mid-Terrace
71,End-Terrace
72,Enclosed End-Terrace
73,Enclosed Mid-Terrace
74,
