,0
0,England and Wales: 2003-2006
1,England and Wales: 1930-1949
2,England and Wales: 1950-1966
3,England and Wales: 1967-1975
4,England and Wales: before 1900
5,England and Wales: 1991-1995
6,England and Wales: 1900-1929
7,England and Wales: 2007 onwards
8,England and Wales: 1976-1982
9,England and Wales: 1996-2002
10,England and Wales: 1983-1990
11,England and Wales: 2007-2011
12,2019
13,England and Wales: 2012 onwards
14,2021
15,2020
16,2022
17,2017
18,2016
19,2018
20,2015
21,2014
22,2013
23,2012
24,2011
25,1900
26,1880
27,2008
28,2005
29,2010
30,1930
31,Not applicable
32,2024
33,1950
34,1800
35,2002
36,2000
37,2009
38,1975
39,1980
40,1890
41,2006
42,2007
43,1920
44,1992
45,1960
46,1850
47,1889
48,1956
49,1940
50,1820
51,2004
52,1885
53,1996
54,1902
55,1965
56,1910
57,1970
58,2023
59,1935
60,1990
61,1995
62,1825
63,2035
64,1983
65,2033
66,2081
67,1998
68,1988
69,1969
70,1876
71,1929
72,1849
73,1985
74,"['England and Wales: 2007-2011' 'England and Wales: 2007 onwards' nan
 'England and Wales: 1900-1929' 'England and Wales: 1930-1949'
 'England and Wales: 1976-1982' 'England and Wales: 1967-1975'
 'England and Wales: 1950-1966' 'England and Wales: before 1900'
 'England and Wales: 2003-2006' 'England and Wales: 1991-1995'
 'England and Wales: 1996-2002' 'England and Wales: 1983-1990'
 'England and Wales: 2012 onwards' '2021' '2019' '2020' '2017' '2018']"
75,"['England and Wales: 2007-2011' 'England and Wales: 2007 onwards' nan
 'England and Wales: 1900-1929' 'England and Wales: 1930-1949'
 'England and Wales: 1976-1982' 'England and Wales: 1967-1975'
 'England and Wales: 1950-1966' 'England and Wales: before 1900'
 'England and Wales: 2003-2006' 'England and Wales: 1991-1995'
 'England and Wales: 1996-2002' 'England and Wales: 1983-1990'
 'England and Wales: 2012 onwards' '2021' '2019' '2020' '2017' '2018']"
76,England and Wales: 2007-2011
77,England and Wales: 2007 onwards
78,England and Wales: 1900-1929
79,England and Wales: 1930-1949
80,England and Wales: 1976-1982
81,England and Wales: 1967-1975
82,England and Wales: 1950-1966
83,England and Wales: before 1900
84,England and Wales: 2003-2006
85,England and Wales: 1991-1995
86,England and Wales: 1996-2002
87,England and Wales: 1983-1990
88,England and Wales: 2012 onwards
89,2021
90,2019
91,2020
92,2017
93,2018
94,England and Wales: 1930-1949
