,0
0,Single
1,standard tariff
2,Unknown
3,dual
4,off-peak 7 hour
5,24 hour
6,dual (24 hour)
7,off-peak 10 hour
8,off-peak 18 hour
9,5
10,"['Single' 'off-peak 7 hour' 'off-peak 10 hour' 'Unknown' 'standard tariff'
 'dual' '24 hour' 'off-peak 18 hour' 'dual (24 hour)' nan]"
11,"['Single' 'off-peak 7 hour' 'off-peak 10 hour' 'Unknown' 'standard tariff'
 'dual' '24 hour' 'off-peak 18 hour' 'dual (24 hour)' nan]"
12,Single
13,off-peak 7 hour
14,off-peak 10 hour
15,Unknown
16,standard tariff
17,dual
18,24 hour
19,off-peak 18 hour
20,dual (24 hour)
21,Single
22,standard tariff
23,off-peak 7 hour
24,dual
25,Unknown
26,off-peak 10 hour
27,24 hour
28,dual (24 hour)
29,off-peak 18 hour
30,Single
31,standard tariff
32,off-peak 7 hour
33,dual
34,Unknown
35,off-peak 10 hour
36,24 hour
37,dual (24 hour)
38,off-peak 18 hour
39,Single
40,standard tariff
41,off-peak 7 hour
42,dual
43,Unknown
44,off-peak 10 hour
45,24 hour
46,dual (24 hour)
47,off-peak 18 hour
48,Single
49,standard tariff
50,off-peak 7 hour
51,dual
52,Unknown
53,off-peak 10 hour
54,24 hour
55,dual (24 hour)
56,off-peak 18 hour
57,Single
58,standard tariff
59,off-peak 7 hour
60,dual
61,Unknown
62,off-peak 10 hour
63,24 hour
64,dual (24 hour)
65,off-peak 18 hour
66,Single
67,standard tariff
68,off-peak 7 hour
69,dual
70,Unknown
71,off-peak 10 hour
72,24 hour
73,dual (24 hour)
74,off-peak 18 hour
75,Single
76,standard tariff
77,off-peak 7 hour
78,dual
79,Unknown
80,off-peak 10 hour
81,24 hour
82,dual (24 hour)
83,off-peak 18 hour
84,Single
85,standard tariff
86,off-peak 7 hour
87,dual
88,Unknown
89,off-peak 10 hour
90,24 hour
91,dual (24 hour)
92,off-peak 18 hour
93,Single
94,standard tariff
95,off-peak 7 hour
96,dual
97,Unknown
98,off-peak 10 hour
99,24 hour
100,dual (24 hour)
101,off-peak 18 hour
102,Single
103,standard tariff
104,off-peak 7 hour
105,dual
106,Unknown
107,off-peak 10 hour
108,24 hour
109,dual (24 hour)
110,off-peak 18 hour
111,
