,0
0,"Solid, no insulation (assumed)"
1,"Suspended, no insulation (assumed)"
2,Average thermal transmittance 0.17 W/m²K
3,"Solid, insulated (assumed)"
4,Average thermal transmittance 0.20 W/m²K
5,"Solid, limited insulation (assumed)"
6,(another dwelling below)
7,Average thermal transmittance 0.13 W/m²K
8,(other premises below)
9,Average thermal transmittance 0.16 W/m²K
10,Average thermal transmittance 0.16 W/m?K
11,Average thermal transmittance 0.15 W/m-¦K
12,Average thermal transmittance 0.13 W/m?K
13,Average thermal transmittance 0.21 W/m²K
14,Average thermal transmittance 0.19 W/m?K
15,Average thermal transmittance 0.12 W/m?K
16,Average thermal transmittance 0.14 W/m?K
17,Average thermal transmittance 0.26 W/m?K
18,Average thermal transmittance 0.20 W/m-¦K
19,Average thermal transmittance 0.22 W/m?K
20,Average thermal transmittance 0.22 W/m²K
21,Average thermal transmittance 0.15 W/m²K
22,Average thermal transmittance 0.21 W/m?K
23,"Suspended, limited insulation (assumed)"
24,Average thermal transmittance 0.12 W/m²K
25,"Suspended, insulated (assumed)"
26,SAP05:Floor
27,Average thermal transmittance 0.18 W/m?K
28,"Solid, insulated"
29,Average thermal transmittance 0.18 W/m-¦K
30,Average thermal transmittance 0.23 W/m²K
31,"To external air, insulated (assumed)"
32,Average thermal transmittance 0.16 W/m-¦K
33,Average thermal transmittance 0.18 W/m²K
34,"To unheated space, no insulation (assumed)"
35,Average thermal transmittance 0.21 W/m-¦K
36,Average thermal transmittance 0.12 W/m-¦K
37,"To external air, insulated"
38,Average thermal transmittance 0.14 W/m²K
39,Average thermal transmittance 0.13 W/m-¦K
40,Average thermal transmittance 0.17 W/m?K
41,Average thermal transmittance 0.19 W/m²K
42,"Suspended, insulated"
43,Average thermal transmittance 0.15 W/m??K
44,Average thermal transmittance 0.11 W/m-¦K
45,Average thermal transmittance 0.14 W/m-¦K
46,"To external air, uninsulated (assumed)"
47,Average thermal transmittance 0.24 W/m?K
48,Average thermal transmittance 0.17 W/m-¦K
49,Average thermal transmittance 0.20 W/m?K
50,"To external air, limited insulation (assumed)"
51,Average thermal transmittance 0.25 W/m-¦K
52,Average thermal transmittance 0.56 W/m?K
53,Average thermal transmittance 0.21 W/m2K
54,"To unheated space, limited insulation (assumed)"
55,Average thermal transmittance 0.72 W/m?K
56,Average thermal transmittance 0.16 W/m??K
57,Average thermal transmittance 0.51 W/m²K
58,limited insulation (assumed)
59,Average thermal transmittance 0.20 W/m&#0178;K
60,Average thermal transmittance 0.64 W/m&#0178;K
61,Average thermal transmittance 0.33 W/m²K
62,Average thermal transmittance = 0.24 W/m?K
63,Average thermal transmittance 0.22 W/m-¦K
64,Average thermal transmittance = 0.26 W/m?K
65,Average thermal transmittance 0.15 W/m?K
66,Average thermal transmittance 0.11 W/m²K
67,"To unheated space,  no insulation (assumed)"
68,no insulation (assumed)
69,Average thermal transmittance = 0.19 W/m?K
70,Average thermal transmittance 0.09 W/m-¦K
71,Average thermal transmittance 0.30 W/m?K
72,Average thermal transmittance 0 W/m²K
73,Average thermal transmittance = 0.16 W/m?K
74,Average thermal transmittance 0.02 W/m²K
75,Average thermal transmittance 0.53 W/m?K
76,Average thermal transmittance 0.49 W/m?K
77,Average thermal transmittance 0.27 W/m?K
78,Average thermal transmittance 0.19 W/m&#0178;K
79,"To unheated space, insulated"
80,Average thermal transmittance 0.70 W/m?K
81,Average thermal transmittance = 0.31 W/m?K
82,Average thermal transmittance 0.31 W/m?K
83,Average thermal transmittance 0.65 W/m?K
84,"To unheated space, insulated (assumed)"
85,Average thermal transmittance 0.69 W/m-¦K
86,"To external air, no insulation (assumed)"
87,Average thermal transmittance 0.21 W/m&#0178;K
88,Average thermal transmittance 0.57 W/m?K
89,Average thermal transmittance 0.10 W/m²K
90,Average thermal transmittance 0.29 W/m?K
91,Average thermal transmittance 0.34 W/m²K
92,Average thermal transmittance 0.49 W/m&#0178;K
93,Average thermal transmittance = 0.21 W/m?K
94,Average thermal transmittance 0.30 W/m-¦K
95,Average thermal transmittance 0.54 W/m²K
96,Average thermal transmittance 0.23 W/m?K
97,Average thermal transmittance 0.18 W/m&#0178;K
98,Average thermal transmittance 0.42 W/m²K
99,Average thermal transmittance 0.54 W/m?K
100,Average thermal transmittance 0.23 W/m-¦K
101,Average thermal transmittance 0.17 W/m&#0178;K
102,Average thermal transmittance 0.50 W/m²K
103,Average thermal transmittance 1.00 W/m?K
104,Average thermal transmittance 0.08 W/m²K
105,Average thermal transmittance = 0.15 W/m?K
106,Average thermal transmittance 0.25 W/m?K
107,"To unheated space, uninsulated (assumed)"
108,Average thermal transmittance 0.50 W/m?K
109,Average thermal transmittance 0.65 W/m&#0178;K
110,Average thermal transmittance 0.09 W/m²K
111,Average thermal transmittance 0.40 W/m?K
112,Average thermal transmittance 0.19 W/m-¦K
113,Average thermal transmittance 0.34 W/m?K
114,Average thermal transmittance 0.63 W/m?K
115,Average thermal transmittance 0.47 W/m?K
116,Average thermal transmittance 0.11 W/m?K
117,Average thermal transmittance 0.56 W/m&#0178;K
118,Average thermal transmittance 0.52 W/m²K
119,Average thermal transmittance 0.28 W/m²K
120,Average thermal transmittance 0.46 W/m?K
121,Average thermal transmittance 0.78 W/m?K
122,Average thermal transmittance 0.64 W/m?K
123,Average thermal transmittance 0.27 W/m²K
124,Average thermal transmittance 0.29 W/m-¦K
125,Conservatory
126,Average thermal transmittance 0.25 W/m²K
127,Average thermal transmittance 0.60 W/m²K
128,Average thermal transmittance 0.39 W/m&#0178;K
129,Average thermal transmittance 0.17 W/m??K
130,Average thermal transmittance 0.24 W/m²K
131,Average thermal transmittance 0.70 W/m-¦K
132,Average thermal transmittance 0.21 W/m??K
133,Average thermal transmittance 0.10 W/m-¦K
134,Other premises below
135,"Solet, dim inswleiddio (rhagdybiaeth)"
136,Average thermal transmittance 0.20 W/m??K
137,Average thermal transmittance 0.16 W/m2K
138,Average thermal transmittance 1.20 W/m?K
139,Average thermal transmittance 0.52 W/m?K
140,Average thermal transmittance 1.20 W/m²K
141,Average thermal transmittance = 0.20 W/m?K
142,Average thermal transmittance 0.59 W/m-¦K
143,Average thermal transmittance 0.60 W/m&#0178;K
144,Average thermal transmittance 0.16 W/mÂ²K
145,Average thermal transmittance = 0.17 W/m?K
146,(Same dwelling below) insulated (assumed)
147,Average thermal transmittance 0.21 W/mÂ²K
148,Average thermal transmittance 0.16 W/mA?K
149,Average thermal transmittance 0.10 W/m?K
