,0
0,
1,Ground
2,top floor
3,1st
4,0.0
5,1.0
6,03
7,ground floor
8,2nd
9,01
10,00
11,1
12,02
13,4th
14,2.0
15,3rd
16,3
17,mid floor
18,2
19,05
20,5th
21,7th
22,3.0
23,8th
24,04
25,10th
26,9th
27,06
28,5.0
29,13th
30,6th
31,11th
32,14th
33,6.0
34,Basement
35,11
36,17th
37,16
38,15th
39,12th
40,16th
41,7.0
42,4.0
43,08
44,11.0
45,8.0
46,10
47,15
48,12
49,21st or above
50,14
51,-1.0
52,07
53,-1
54,09
55,9.0
56,14.0
57,1.0
58,3.0
59,2.0
60,0.0
61,8.0
62,0.0
63,2.0
64,3.0
65,1.0
66,13.0
67,11.0
68,10.0
69,6.0
70,9.0
71,0.0
72,2.0
73,1.0
74,20th
75,3.0
76,-1.0
77,2.0
78,1.0
79,0.0
80,3.0
81,5.0
82,13
83,16.0
84,14.0
85,8.0
86,9.0
87,10.0
88,1.0
89,0.0
90,2.0
91,3.0
92,0.0
93,1.0
94,2.0
95,20+
96,3.0
97,4.0
98,18th
99,0.0
100,2.0
101,3.0
102,1.0
103,-1.0
104,19th
105,8.0
106,1.0
107,2.0
108,0.0
109,3.0
110,4.0
111,-1.0
112,0
113,5.0
114,1.0
115,0.0
116,2.0
117,3.0
118,-1.0
119,6.0
120,5.0
121,4.0
122,2.0
123,1.0
124,0.0
125,3.0
126,4.0
127,11.0
128,12.0
129,14.0
130,5.0
131,7.0
132,9.0
133,6.0
134,15.0
135,1.0
136,0.0
137,2.0
138,3.0
139,4.0
140,6.0
141,8.0
142,5.0
143,14.0
144,11.0
145,15.0
146,19.0
147,-1.0
148,10.0
149,13.0
150,9.0
151,7.0
152,
153,1.0
154,0.0
155,2.0
156,3.0
157,-1.0
158,0.0
159,1.0
160,2.0
161,3.0
162,6.0
163,2.0
164,0.0
165,3.0
166,1.0
167,4.0
168,5.0
169,0.0
170,2.0
171,1.0
172,3.0
173,-1.0
174,4.0
175,
176,2.0
177,0.0
178,1.0
179,-1.0
180,3.0
181,5.0
182,4.0
183,11.0
184,7.0
185,10.0
186,8.0
187,9.0
188,6.0
189,12.0
190,13.0
191,1.0
192,0.0
193,2.0
194,3.0
195,4.0
196,-1.0
197,5.0
198,0.0
199,2.0
200,1.0
201,3.0
202,-1.0
203,5.0
204,0.0
205,1.0
206,2.0
207,-1.0
208,3.0
209,5.0
210,4.0
211,6.0
212,0.0
213,1.0
214,2.0
215,5.0
216,3.0
217,4.0
218,-1.0
219,6.0
220,2.0
221,0.0
222,1.0
223,11.0
224,3.0
225,4.0
226,5.0
227,2.0
228,3.0
229,0.0
230,1.0
231,-1.0
232,1.0
233,2.0
234,14.0
235,3.0
236,0.0
237,9.0
238,6.0
239,-1.0
240,5.0
241,13.0
242,11.0
243,10.0
244,7.0
245,4.0
246,12.0
247,8.0
248,1.0
249,3.0
250,0.0
251,-1.0
252,2.0
253,7.0
254,6.0
255,5.0
256,4.0
257,9.0
258,1.0
259,4.0
260,2.0
261,3.0
262,5.0
263,0.0
264,7.0
265,13.0
266,10.0
267,8.0
268,6.0
269,9.0
270,14.0
271,2.0
272,0.0
273,1.0
274,4.0
275,7.0
276,3.0
277,5.0
278,16.0
279,10.0
280,-1.0
281,2.0
282,0.0
283,1.0
284,3.0
285,4.0
286,
287,0.0
288,1.0
289,2.0
290,3.0
291,2.0
292,3.0
293,1.0
294,0.0
295,4.0
296,5.0
297,-1.0
298,13.0
299,1.0
300,3.0
301,2.0
302,0.0
303,5.0
304,3.0
305,1.0
306,2.0
307,0.0
308,3.0
309,2.0
310,0.0
311,1.0
312,4.0
313,8.0
314,5.0
315,7.0
316,6.0
317,2.0
318,1.0
319,0.0
320,3.0
321,4.0
322,1.0
323,13.0
324,3.0
325,0.0
326,2.0
327,9.0
328,6.0
329,7.0
330,11.0
331,0.0
332,1.0
333,2.0
334,-1.0
335,3.0
336,4.0
337,2.0
338,1.0
339,0.0
340,10.0
341,3.0
342,8.0
343,-1.0
344,5.0
345,12.0
346,4.0
347,2.0
348,0.0
349,1.0
350,3.0
351,0.0
352,3.0
353,1.0
354,2.0
355,5.0
356,2.0
357,1.0
358,6.0
359,1.0
360,0.0
361,1.0
362,0.0
363,0.0
364,
365,1.0
366,2.0
367,0.0
368,1.0
369,0.0
370,1.0
371,5.0
372,2.0
373,2.0
374,2.0
375,2.0
376,3.0
377,0.0
378,
379,-1.0
380,3.0
381,2.0
382,0.0
383,1.0
384,0.0
385,2.0
386,2.0
387,0.0
388,3.0
389,1.0
390,0.0
391,2.0
392,6.0
393,2.0
394,0.0
395,2.0
396,1.0
397,11.0
398,0.0
399,0.0
400,1.0
401,10.0
402,5.0
403,1.0
404,0.0
405,2.0
406,2.0
407,1.0
408,3.0
409,1.0
410,2.0
411,2.0
412,1.0
413,2.0
414,0.0
415,1.0
416,1.0
417,1.0
418,0.0
419,0.0
420,1.0
421,1.0
422,0.0
423,3.0
424,0.0
425,1.0
426,3.0
427,0.0
428,6.0
429,2.0
430,1.0
431,0.0
432,
433,1.0
434,2.0
435,0.0
436,3.0
437,1.0
438,2.0
439,1.0
440,2.0
441,3.0
442,1.0
443,0.0
444,0.0
445,3.0
446,0.0
447,1.0
448,2.0
449,
450,0.0
451,1.0
452,2.0
453,1.0
454,1.0
455,2.0
456,3.0
457,1.0
458,-1.0
459,1.0
460,0.0
461,2.0
462,1.0
463,0.0
464,2.0
465,2.0
466,1.0
467,1.0
468,0.0
469,2.0
470,0.0
471,1.0
472,4.0
473,0.0
474,3.0
475,0.0
476,0.0
477,2.0
478,1.0
479,3.0
480,0.0
481,3.0
482,1.0
483,3.0
484,0.0
485,0.0
486,1.0
487,2.0
488,1.0
489,2.0
490,3.0
491,3.0
492,3.0
493,2.0
494,0.0
495,1.0
496,2.0
497,0.0
498,1.0
499,1.0
500,
501,
502,1.0
503,1.0
504,2.0
505,3.0
506,1.0
507,0.0
508,0.0
509,1.0
510,2.0
511,0.0
512,0.0
513,1.0
514,0.0
515,2.0
516,1.0
517,2.0
518,2.0
519,0.0
520,1.0
521,4.0
522,0.0
523,2.0
524,3.0
525,1.0
526,0.0
527,3.0
528,2.0
529,
530,0.0
531,
532,1.0
533,
534,1.0
535,0.0
536,1.0
537,0.0
538,2.0
539,3.0
540,0.0
541,1.0
542,1.0
543,0.0
544,
545,0.0
546,0.0
547,1.0
548,
549,1.0
550,0.0
551,1.0
552,3.0
553,3.0
554,1.0
555,1.0
556,2.0
557,1.0
558,2.0
559,0.0
560,1.0
561,2.0
562,3.0
563,1.0
564,0.0
565,1.0
566,3.0
567,2.0
568,1.0
569,0.0
570,0.0
571,
572,1.0
573,2.0
574,1.0
575,3.0
576,0.0
577,1.0
578,
579,
580,3.0
581,0.0
582,2.0
583,2.0
584,1.0
585,0.0
586,2.0
587,3.0
588,2.0
589,0.0
590,1.0
591,1.0
592,0.0
593,1.0
594,2.0
595,1.0
596,0.0
597,1.0
598,3.0
599,1.0
600,2.0
601,1.0
602,2.0
603,0.0
604,1.0
605,2.0
606,1.0
607,
608,0.0
609,1.0
610,2.0
611,1.0
612,1.0
613,1.0
614,17
615,
616,1.0
617,0.0
618,0.0
619,1.0
620,2.0
621,1.0
622,2.0
623,1.0
624,0.0
625,2.0
626,0.0
627,1.0
628,1.0
629,2.0
630,0.0
631,1.0
632,0.0
633,3.0
634,1.0
635,2.0
636,
637,1.0
638,2.0
639,0.0
640,9.0
641,3.0
642,2.0
643,0.0
644,0.0
645,2.0
646,1.0
647,1.0
648,0.0
649,3.0
650,2.0
651,1.0
652,0.0
653,3.0
654,2.0
655,2.0
656,1.0
657,2.0
658,0.0
659,1.0
660,2.0
661,2.0
662,0.0
663,1.0
664,0.0
665,1.0
666,2.0
667,0.0
668,1.0
669,1.0
670,4.0
671,0.0
672,3.0
673,0.0
674,1.0
675,2.0
676,0.0
677,3.0
678,1.0
679,2.0
680,2.0
681,1.0
682,0.0
683,1.0
684,20
685,1.0
686,2.0
687,4.0
688,0.0
689,1.0
690,
691,0.0
692,2.0
693,1.0
694,2.0
695,0.0
696,1.0
697,0.0
698,5.0
699,2.0
700,1.0
701,2.0
702,2.0
703,1.0
704,0.0
705,0.0
706,7.0
707,2.0
708,0.0
709,0.0
710,1.0
711,3.0
712,1.0
713,1.0
714,0.0
715,1.0
716,0.0
717,2.0
718,1.0
719,4.0
720,2.0
721,1.0
722,1.0
723,0.0
724,4.0
725,-1.0
726,3.0
727,1.0
728,2.0
729,0.0
730,1.0
731,1.0
732,3.0
733,0.0
734,2.0
735,0.0
736,1.0
737,3.0
738,6.0
739,0.0
740,1.0
741,0.0
742,2.0
743,6.0
744,1.0
745,2.0
746,1.0
747,0.0
748,
749,0.0
750,1.0
751,1.0
752,3.0
753,2.0
754,0.0
755,4.0
756,
757,1.0
758,3.0
759,2.0
760,
761,3.0
762,1.0
763,2.0
764,3.0
765,0.0
766,1.0
767,2.0
768,1.0
769,0.0
770,1.0
771,3.0
772,0.0
773,1.0
774,1.0
775,0.0
776,3.0
777,0.0
778,1.0
779,
780,1.0
781,2.0
782,3.0
783,0.0
784,2.0
785,1.0
786,0.0
787,2.0
788,1.0
789,1.0
790,0.0
791,2.0
792,1.0
793,1.0
794,0.0
795,2.0
796,0.0
797,2.0
798,0.0
799,4.0
800,1.0
801,0.0
802,2.0
803,1.0
804,0.0
805,1.0
806,2.0
807,0.0
808,1.0
809,0.0
810,2.0
811,3.0
812,2.0
813,0.0
814,1.0
815,0.0
816,1.0
817,2.0
818,4.0
819,2.0
820,1.0
821,3.0
822,2.0
823,2.0
824,0.0
825,1.0
826,0.0
827,3.0
828,1.0
829,2.0
830,1.0
831,2.0
832,
833,0.0
834,1.0
835,1.0
836,0.0
837,1.0
838,2.0
839,2.0
840,1.0
841,1.0
842,2.0
843,1.0
844,3.0
845,2.0
846,1.0
847,3.0
848,0.0
849,1.0
850,0.0
851,4.0
852,
853,2.0
854,0.0
855,5.0
856,1.0
857,1.0
858,1.0
859,0.0
860,3.0
861,1.0
862,2.0
863,0.0
864,1.0
865,2.0
866,1.0
867,0.0
868,2.0
869,1.0
870,0.0
871,
872,2.0
873,2.0
874,0.0
875,1.0
876,1.0
877,0.0
878,1.0
879,2.0
880,1.0
881,0.0
882,
883,2.0
884,1.0
885,0.0
886,
887,1.0
888,0.0
889,0.0
890,1.0
891,0.0
892,0.0
893,
894,1.0
895,0.0
896,1.0
897,1.0
898,3.0
899,0.0
900,1.0
901,0.0
902,1.0
903,1.0
904,2.0
905,3.0
906,1.0
907,2.0
908,0.0
909,0.0
910,1.0
911,3.0
912,0.0
913,0.0
914,1.0
915,2.0
916,2.0
917,0.0
918,0.0
919,1.0
920,0.0
921,2.0
922,0.0
923,1.0
924,1.0
925,0.0
926,2.0
927,5.0
928,0.0
929,3.0
930,0.0
931,1.0
932,3.0
933,2.0
934,1.0
935,1.0
936,0.0
937,3.0
938,1.0
939,
940,1.0
941,1.0
942,1.0
943,2.0
944,2.0
945,18
946,1.0
947,3.0
948,1.0
949,2.0
950,0.0
951,0.0
952,1.0
953,2.0
954,0.0
955,1.0
956,0.0
957,1.0
958,0.0
959,1.0
960,2.0
961,0.0
962,1.0
963,2.0
964,1.0
965,0.0
966,0.0
967,2.0
968,1.0
969,0.0
970,1.0
971,2.0
972,4.0
973,4.0
974,1.0
975,0.0
976,2.0
977,3.0
978,0.0
979,2.0
980,-1.0
981,2.0
982,1.0
983,1.0
984,3.0
985,2.0
986,1.0
987,0.0
