,0
0,Normal
1,More Than Typical
2,Less Than Typical
3,Much Less Than Typical
4,Much More Than Typical
5,Not Defined
6,"['Normal' nan 'More Than Typical' 'Much More Than Typical'
 'Less Than Typical' 'Much Less Than Typical']"
7,"['Normal' nan 'More Than Typical' 'Much More Than Typical'
 'Less Than Typical' 'Much Less Than Typical']"
8,Normal
9,More Than Typical
10,Much More Than Typical
11,Less Than Typical
12,Much Less Than Typical
13,Normal
14,More Than Typical
15,Less Than Typical
16,Much More Than Typical
17,Much Less Than Typical
18,Normal
19,More Than Typical
20,Less Than Typical
21,Much More Than Typical
22,Much Less Than Typical
23,Normal
24,More Than Typical
25,Less Than Typical
26,Much More Than Typical
27,Much Less Than Typical
28,Normal
29,More Than Typical
30,Less Than Typical
31,Much More Than Typical
32,Much Less Than Typical
33,Normal
34,More Than Typical
35,Less Than Typical
36,Much More Than Typical
37,Much Less Than Typical
38,Normal
39,More Than Typical
40,Less Than Typical
41,Much More Than Typical
42,Much Less Than Typical
43,Normal
44,More Than Typical
45,Less Than Typical
46,Much More Than Typical
47,Much Less Than Typical
48,Normal
49,More Than Typical
50,Less Than Typical
51,Much More Than Typical
52,Much Less Than Typical
53,Normal
54,More Than Typical
55,Less Than Typical
56,Much More Than Typical
57,Much Less Than Typical
58,Normal
59,More Than Typical
60,Less Than Typical
61,Much More Than Typical
62,Much Less Than Typical
63,
