,0
0,not defined
1,double glazing installed during or after 2002
2,double glazing installed before 2002
3,"double glazing, unknown install date"
4,triple glazing
5,single glazing
6,"double, known data"
7,secondary glazing
8,"triple, known data"
9,"['double glazing installed during or after 2002' nan
 'double glazing, unknown install date'
 'double glazing installed before 2002' 'triple glazing' 'not defined'
 'secondary glazing' 'single glazing' 'triple, known data'
 'double, known data']"
10,"['double glazing installed during or after 2002' nan
 'double glazing, unknown install date'
 'double glazing installed before 2002' 'triple glazing' 'not defined'
 'secondary glazing' 'single glazing' 'triple, known data'
 'double, known data']"
11,double glazing installed during or after 2002
12,"double glazing, unknown install date"
13,double glazing installed before 2002
14,triple glazing
15,not defined
16,secondary glazing
17,single glazing
18,"triple, known data"
19,"double, known data"
20,double glazing installed during or after 2002
21,double glazing installed before 2002
22,"double glazing, unknown install date"
23,single glazing
24,not defined
25,"double, known data"
26,secondary glazing
27,triple glazing
28,double glazing installed during or after 2002
29,double glazing installed before 2002
30,"double glazing, unknown install date"
31,single glazing
32,not defined
33,"double, known data"
34,secondary glazing
35,triple glazing
36,double glazing installed during or after 2002
37,double glazing installed before 2002
38,"double glazing, unknown install date"
39,single glazing
40,not defined
41,"double, known data"
42,secondary glazing
43,triple glazing
44,double glazing installed during or after 2002
45,double glazing installed before 2002
46,"double glazing, unknown install date"
47,single glazing
48,not defined
49,"double, known data"
50,secondary glazing
51,triple glazing
52,double glazing installed during or after 2002
53,double glazing installed before 2002
54,"double glazing, unknown install date"
55,single glazing
56,not defined
57,"double, known data"
58,secondary glazing
59,triple glazing
60,double glazing installed during or after 2002
61,double glazing installed before 2002
62,"double glazing, unknown install date"
63,single glazing
64,not defined
65,"double, known data"
66,secondary glazing
67,triple glazing
68,double glazing installed during or after 2002
69,double glazing installed before 2002
70,"double glazing, unknown install date"
71,single glazing
72,not defined
73,"double, known data"
74,secondary glazing
75,triple glazing
76,double glazing installed during or after 2002
77,double glazing installed before 2002
78,"double glazing, unknown install date"
79,single glazing
80,not defined
81,"double, known data"
82,secondary glazing
83,triple glazing
84,double glazing installed during or after 2002
85,double glazing installed before 2002
86,"double glazing, unknown install date"
87,single glazing
88,not defined
89,"double, known data"
90,secondary glazing
91,triple glazing
92,double glazing installed during or after 2002
93,double glazing installed before 2002
94,"double glazing, unknown install date"
95,single glazing
96,not defined
97,"double, known data"
98,secondary glazing
99,triple glazing
100,
