,0
0,"From main system, no cylinder thermostat"
1,From main system
2,Community scheme
3,Gas multipoint
4,"Electric immersion, standard tariff"
5,"From main system, no cylinderstat"
6,"Electric immersion, off-peak"
7,No system present: electric immersion assumed
8,SAP05:Hot-Water
9,Electric instantaneous at point of use
10,"From main system, plus solar"
11,"Gas boiler/circulator, no cylinder thermostat"
12,From secondary system
13,Gas instantaneous at point of use
14,Gas boiler/circulator
15,"Community scheme, plus solar"
16,"From main system, flue gas heat recovery"
17,"From main system, no cylinder thermostat, plus solar"
18,"From secondary system, no cylinderstat"
19,"From secondary system, no cylinder thermostat"
20,"Community scheme, no cylinder thermostat"
21,"From main system, plus solar, flue gas heat recovery"
22,Electric heat pump for water heating only
23,"Electric immersion, off-peak, plus solar"
24,community scheme
25,"From main system, plus solar, no cylinder thermostat"
26,"From main system, waste water heat recovery"
27,"Gas multipoint, no cylinder thermostat"
28,"No system present: electric immersion assumed, plus solar"
29,"Electric immersion, off-peak, no cylinder thermostat"
30,Solid fuel boiler/circulator
31,"Electric immersion, standard tariff, plus solar"
32,Gas range cooker
33,Electric heat pump
34,From community scheme
35,"community scheme, no cylinder thermostat"
36,"Gas range cooker, no cylinder thermostat"
37,"From main system, no cylinderstat, no cylinderstat"
38,"Electric heat pump for water heating only, no cylinder thermostat"
39,"Electric immersion, standard tariff, no cylinder thermostat"
40,"Electric immersion, dual tariff"
41,"From main system, standard tariff"
42,O’r brif system
43,"Single-point gas water heater, standard tariff"
44,", no cylinder thermostat"
45,"Solid fuel boiler/circulator, no cylinder thermostat"
46,"Oil range cooker, no cylinder thermostat"
47,"Solid fuel range cooker, no cylinder thermostat"
48,No system present?electric immersion assumed
49,Solid fuel range cooker
50,"Electric instantaneous at point of use, no cylinder thermostat"
51,"Solid fuel range cooker, no cylinderstat, plus solar"
52,From main system |O'r brif system
53,"Electric heat pump for water heating only, plus solar"
54,"Oil range cooker, no cylinderstat"
55,"Electric heat pump, plus solar, no cylinder thermostat"
56,Oil range cooker
57,Oil boiler/circulator
58,"From main system, flue gas heat recovery, waste water heat recovery"
59,"Point gas water heater, no cylinderstat"
60,O'r brif system
61,"Electric immersion, off-peak, no cylinderstat"
62,Community scheme with CHP
63,"Gas boiler/circulator, plus solar"
64,"Gas multipoint, no cylinderstat"
65,"Electric immersion, standard tariff, no cylinderstat"
66,Electric multipoint
67,"Electric instantaneous at point of use, plus solar"
68,"Electric immersion, standard tariff, waste water heat recovery"
69,"O’r brif system, adfer gwres nwyon ffliw"
70,"Gas multipoint, plus solar"
71,"No system present: electric immersion assumed, no cylinder thermostat"
72,O?r brif system
73,"From secondary system, plus solar, no cylinder thermostat"
74,No hot water system present - electric immersion assumed
75,"Gas range cooker, no cylinderstat"
76,"From main system, plus solar, no cylinder thermostat, flue gas heat recovery"
77,No system present : electric immersion assumed
78,"Back boiler (hot water only), gas"
79,"Twymwr tanddwr, tarriff safonol"
80,"Community scheme, no cylinder thermostat, plus solar"
81,"Electric instantaneous at point of use, no cylinderstat"
82,Single-point gas water heater
83,"Oil boiler/circulator, plus solar"
84,"Solid fuel boiler/circulator, plus solar"
85,"From secondary system, plus solar"
86,"Oil boiler/circulator, no cylinder thermostat"
87,Community heat pump
88,"Point gas water heater, no cylinderstat, no cylinderstat"
89,"From secondary heater, no cylinderstat"
90,"Gas range cooker, plus solar"
91,Heat pump
92,"Gas boiler/circulator, no cylinderstat"
93,"From main system, no cylinderstat, plus solar"
94,"Electric immersion, standard tariff, flue gas heat recovery, waste water heat recovery"
95,"Electric immersion, off-peak, flue gas heat recovery, waste water heat recovery"
96,"O'r brif system, dim thermostat ar y silindr"
97,"From main system, flue gas heat recovery, plus solar"
98,"Community scheme, waste water heat recovery"
99,"From main system, plus solar, waste water heat recovery"
100,"From main system , no cylinder thermostat"
101,"Gas boiler/circulator, no cylinderstat, plus solar"
102,"Single-point gas water heater, off-peak"
103,"Electric immersion, standard tariff |Twymwr tanddwr, tarriff safonol"
104,"Community scheme, flue gas heat recovery"
105,From second main heating system
106,"No system present: electric immersion assumed, no cylinderstat"
107,OGÇÖr brif system
108,"Gas instantaneous at point of use, plus solar"
109,"Solid fuel range cooker, plus solar"
110,SAP:Hot-Water
111,"Twymwr tanddwr, an-frig"
112,"Oil range cooker, plus solar, no cylinder thermostat"
113,"Solid fuel boiler/circulator, plus solar, no cylinder thermostat"
114,"O’r brif system, gydag ynni’r haul"
115,"Oil range cooker, plus solar"
116,"Gas boiler/circulator, no cylinder thermostat, plus solar"
117,"Electric instantaneous at point of use, flue gas heat recovery"
118,"Electric heat pump for water heating only, plus solar, no cylinder thermostat"
119,"Electric immersion, standard tariff, flue gas heat recovery"
120,"O?r brif system, dim thermostat ar y silindr"
121,"Electric instantaneous at point of use, waste water heat recovery"
122,From community CHP scheme
123,Electric instantaneous at point of use |Trydan ar unwaith yn y fan lle mae'n cael ei ddefnyddio
124,"From main system, no cylinder thermostat, flue gas heat recovery"
125,"No system present: electric immersion assumed, flue gas heat recovery"
126,"Electric immersion, off-peak, waste water heat recovery"
127,From secondary heater
128,"From second main heating system, waste water heat recovery"
129,"From main system, 7-hour tariff (on-peak)"
130,"Electric heat pump, plus solar"
