,0
0,mains gas - this is for backwards compatibility only and should not be used
1,mains gas (not community)
2,"Electricity: electricity, unspecified tariff"
3,mains gas (community)
4,electricity (not community)
5,To be used only when there is no heating/hot-water system
6,electricity - this is for backwards compatibility only and should not be used
7,house coal - this is for backwards compatibility only and should not be used
8,oil (not community)
9,oil - this is for backwards compatibility only and should not be used
10,bottled LPG
11,LPG (not community)
12,bulk wood pellets
13,LPG - this is for backwards compatibility only and should not be used
14,dual fuel - mineral + wood
15,Gas: mains gas
16,from heat network data (community)
17,To be used only when there is no heating/hot-water system or data is from a community network
18,house coal (not community)
19,anthracite
20,smokeless coal
21,biomass (community)
22,Gas: bulk LPG
23,wood logs
24,B30D (community)
25,electricity (community)
26,biomass - this is for backwards compatibility only and should not be used
27,biogas (community)
28,wood chips
29,Oil: heating oil
30,oil (community)
31,LPG special condition
32,LPG (community)
33,B30K (not community)
34,waste combustion - this is for backwards compatibility only and should not be used
35,coal (community)
36,heat from boilers using biodiesel from any biomass source (community)
37,Gas: bottled LPG
38,Solid fuel: wood logs
39,Community heating schemes: heat from boilers - biomass
40,appliances able to use mineral oil or liquid biofuel
41,wood pellets in bags for secondary heating
42,biogas - landfill - this is for backwards compatibility only and should not be used
43,waste combustion (community)
44,Community heating schemes: waste heat from power stations
45,Solid fuel: wood chips
46,"Solid fuel: wood pellets (bulk supply in bags, for main heating)"
47,rapeseed oil
48,biogas (not community)
49,Solid fuel: dual fuel appliance (mineral and wood)
50,biodiesel from any biomass source
51,LNG
52,LPG subject to Special Condition 18
53,bioethanol
54,Gas: biogas
55,biodiesel from vegetable oil only
56,Solid fuel: house coal
57,Community heating schemes: heat from heat pump
58,Electricity: electricity displaced from grid
59,biodiesel from used cooking oil only
60,B30K
61,heat from boilers that can use mineral oil or biodiesel (community)
62,"Solid fuel: wood pellets (in bags, for secondary heating)"
63,Solid fuel: manufactured smokeless fuel
64,mains gas (not community)
65,mains gas - this is for backwards compatibility only and should not be used
66,LPG (not community)
67,electricity (not community)
68,To be used only when there is no heating/hot-water system
69,mains gas (community)
70,electricity - this is for backwards compatibility only and should not be used
71,Gas: mains gas
72,To be used only when there is no heating/hot-water system or data is from a community network
73,"Electricity: electricity, unspecified tariff"
74,oil (not community)
75,house coal (not community)
76,oil - this is for backwards compatibility only and should not be used
77,dual fuel - mineral + wood
78,LPG - this is for backwards compatibility only and should not be used
79,anthracite
80,wood logs
81,from heat network data (community)
82,bottled LPG
83,bulk wood pellets
84,smokeless coal
85,Gas: bulk LPG
86,biomass (community)
87,house coal - this is for backwards compatibility only and should not be used
88,electricity (community)
89,B30D (community)
90,mains gas (not community)
91,mains gas - this is for backwards compatibility only and should not be used
92,LPG (not community)
93,electricity (not community)
94,To be used only when there is no heating/hot-water system
95,mains gas (community)
96,electricity - this is for backwards compatibility only and should not be used
97,Gas: mains gas
98,To be used only when there is no heating/hot-water system or data is from a community network
99,"Electricity: electricity, unspecified tariff"
100,oil (not community)
101,house coal (not community)
102,oil - this is for backwards compatibility only and should not be used
103,dual fuel - mineral + wood
104,LPG - this is for backwards compatibility only and should not be used
105,anthracite
106,wood logs
107,from heat network data (community)
108,bottled LPG
109,bulk wood pellets
110,smokeless coal
111,Gas: bulk LPG
112,biomass (community)
113,house coal - this is for backwards compatibility only and should not be used
114,electricity (community)
115,B30D (community)
116,mains gas (not community)
117,mains gas - this is for backwards compatibility only and should not be used
118,LPG (not community)
119,electricity (not community)
120,To be used only when there is no heating/hot-water system
121,mains gas (community)
122,electricity - this is for backwards compatibility only and should not be used
123,Gas: mains gas
124,To be used only when there is no heating/hot-water system or data is from a community network
125,"Electricity: electricity, unspecified tariff"
126,oil (not community)
127,house coal (not community)
128,oil - this is for backwards compatibility only and should not be used
129,dual fuel - mineral + wood
130,LPG - this is for backwards compatibility only and should not be used
131,anthracite
132,wood logs
133,from heat network data (community)
134,bottled LPG
135,bulk wood pellets
136,smokeless coal
137,Gas: bulk LPG
138,biomass (community)
139,house coal - this is for backwards compatibility only and should not be used
140,electricity (community)
141,B30D (community)
142,mains gas (not community)
143,mains gas - this is for backwards compatibility only and should not be used
144,LPG (not community)
145,electricity (not community)
146,To be used only when there is no heating/hot-water system
147,mains gas (community)
148,electricity - this is for backwards compatibility only and should not be used
149,Gas: mains gas
150,To be used only when there is no heating/hot-water system or data is from a community network
151,"Electricity: electricity, unspecified tariff"
152,oil (not community)
153,house coal (not community)
154,oil - this is for backwards compatibility only and should not be used
155,dual fuel - mineral + wood
156,LPG - this is for backwards compatibility only and should not be used
157,anthracite
158,wood logs
159,from heat network data (community)
160,bottled LPG
161,bulk wood pellets
162,smokeless coal
163,Gas: bulk LPG
164,biomass (community)
165,house coal - this is for backwards compatibility only and should not be used
166,electricity (community)
167,B30D (community)
168,mains gas (not community)
169,mains gas - this is for backwards compatibility only and should not be used
170,LPG (not community)
171,electricity (not community)
172,To be used only when there is no heating/hot-water system
173,mains gas (community)
174,electricity - this is for backwards compatibility only and should not be used
175,Gas: mains gas
176,To be used only when there is no heating/hot-water system or data is from a community network
177,"Electricity: electricity, unspecified tariff"
178,oil (not community)
179,house coal (not community)
180,oil - this is for backwards compatibility only and should not be used
181,dual fuel - mineral + wood
182,LPG - this is for backwards compatibility only and should not be used
183,anthracite
184,wood logs
185,from heat network data (community)
186,bottled LPG
187,bulk wood pellets
188,smokeless coal
189,Gas: bulk LPG
190,biomass (community)
191,house coal - this is for backwards compatibility only and should not be used
192,electricity (community)
193,B30D (community)
194,mains gas (not community)
195,mains gas - this is for backwards compatibility only and should not be used
196,LPG (not community)
197,electricity (not community)
198,To be used only when there is no heating/hot-water system
199,mains gas (community)
200,electricity - this is for backwards compatibility only and should not be used
201,Gas: mains gas
202,To be used only when there is no heating/hot-water system or data is from a community network
203,"Electricity: electricity, unspecified tariff"
204,oil (not community)
205,house coal (not community)
206,oil - this is for backwards compatibility only and should not be used
207,dual fuel - mineral + wood
208,LPG - this is for backwards compatibility only and should not be used
209,anthracite
210,wood logs
211,from heat network data (community)
212,bottled LPG
213,bulk wood pellets
214,smokeless coal
215,Gas: bulk LPG
216,biomass (community)
217,house coal - this is for backwards compatibility only and should not be used
218,electricity (community)
219,B30D (community)
220,
