,0
0,2104
1,2102
2,2106
3,2504
4,2101
5,2105
6,2107
7,2103
8,2307
9,2401
10,2699
11,2402
12,2204
13,2109
14,2601
15,2302
16,2603
17,2111
18,2305
19,2502
20,2306
21,2602
22,2110
23,2303
24,2301
25,2207
26,2205
27,2309
28,2206
29,2100
30,%%MAINHEATCONTROL%%
31,2304
32,2503
33,2308
34,2203
35,2501
36,2310
37,2311
38,2102.0
39,2106.0
40,2401.0
41,2103.0
42,2207.0
43,2107.0
44,2104.0
45,2307.0
46,2101.0
47,2111.0
48,2699.0
49,2204.0
50,2402.0
51,2306.0
52,2110.0
53,2602.0
54,2601.0
55,2504.0
56,2301.0
57,2303.0
58,2305.0
59,2308.0
60,2205.0
61,2302.0
62,2603.0
63,2109.0
64,2105.0
65,2304.0
66,2100.0
67,2502.0
68,2309.0
69,2206.0
70,2503.0
71,2501.0
72,2505.0
73,2404.0
74,2201.0
75,2310.0
76,2208.0
77,2605.0
78,2203.0
79,0.0
80,2202.0
81,2102.0
82,2106.0
83,2401.0
84,2103.0
85,2207.0
86,2107.0
87,2104.0
88,2307.0
89,2101.0
90,2111.0
91,2699.0
92,2204.0
93,2402.0
94,2306.0
95,2110.0
96,2602.0
97,2601.0
98,2504.0
99,2301.0
100,2303.0
101,2305.0
102,2308.0
103,2205.0
104,2302.0
105,2603.0
106,2109.0
107,2105.0
108,2304.0
109,2100.0
110,2502.0
111,2309.0
112,2206.0
113,2503.0
114,2501.0
115,2505.0
116,2404.0
117,2201.0
118,2310.0
119,2208.0
120,2605.0
121,2203.0
122,0.0
123,2202.0
124,2307.0
125,2106.0
126,2107.0
127,2602.0
128,2102.0
129,2104.0
130,2601.0
131,2401.0
132,2103.0
133,2603.0
134,2699.0
135,2402.0
136,2101.0
137,2304.0
138,2301.0
139,2504.0
140,2204.0
141,2303.0
142,2305.0
143,2109.0
144,2205.0
145,2206.0
146,2105.0
147,2111.0
148,2302.0
149,2306.0
150,2502.0
151,2706.0
152,2704.0
153,2108.0
154,2404.0
155,2110.0
156,2503.0
157,2605.0
158,2308.0
159,2207.0
160,2604.0
161,2310.0
162,2202.0
163,2501.0
164,2506.0
165,2100.0
166,2203.0
167,0.0
168,2312.0
169,2705.0
170,17.0
171,2102.0
172,2106.0
173,2401.0
174,2103.0
175,2207.0
176,2107.0
177,2104.0
178,2307.0
179,2101.0
180,2111.0
181,2699.0
182,2204.0
183,2402.0
184,2306.0
185,2110.0
186,2602.0
187,2601.0
188,2504.0
189,2301.0
190,2303.0
191,2305.0
192,2308.0
193,2205.0
194,2302.0
195,2603.0
196,2109.0
197,2105.0
198,2304.0
199,2100.0
200,2502.0
201,2309.0
202,2206.0
203,2503.0
204,2501.0
205,2505.0
206,2404.0
207,2201.0
208,2310.0
209,2208.0
210,2605.0
211,2203.0
212,0.0
213,2202.0
214,2307.0
215,2106.0
216,2107.0
217,2602.0
218,2102.0
219,2104.0
220,2601.0
221,2401.0
222,2103.0
223,2603.0
224,2699.0
225,2402.0
226,2101.0
227,2304.0
228,2301.0
229,2504.0
230,2204.0
231,2303.0
232,2305.0
233,2109.0
234,2205.0
235,2206.0
236,2105.0
237,2111.0
238,2302.0
239,2306.0
240,2502.0
241,2706.0
242,2704.0
243,2108.0
244,2404.0
245,2110.0
