,0
0,"Boiler and radiators, mains gas"
1,Community scheme
2,"Warm air, mains gas"
3,"Boiler and underfloor heating, electric"
4,Electric storage heaters
5,No system present: electric heaters assumed
6,SAP05:Main-Heating
7,"Air source heat pump, radiators, electric"
8,"Room heaters, electric"
9,"Boiler and radiators, coal"
10,"Boiler and underfloor heating, mains gas"
11,"Room heaters, mains gas"
12,"Boiler and radiators, oil"
13,"Community scheme, mains gas"
14,Community scheme with CHP
15,Portable electric heaters assumed for most rooms
16,"Ground source heat pump, radiators, electric"
17,"Boiler and radiators, LPG"
18,"Air source heat pump, underfloor, electric"
19,Community scheme with CHP and mains gas
20,"Boiler & underfloor, mains gas"
21,"Ground source heat pump, underfloor, electric"
22,"Ground source heat pump, fan coil units, electric"
23,"Boiler and radiators, electric"
24,Portable electric heating assumed for most rooms
25,"Boiler and radiators, wood pellets"
26,"Warm air, electric"
27,"Warm air, Electricaire"
28,"Boiler and radiators, dual fuel (mineral and wood)"
29,"Community, community"
30,"Water source heat pump, radiators, electric"
31,"Electric storage heaters, Room heaters, electric"
32,"Boiler and underfloor heating, mains gas, Boiler and radiators, mains gas"
33,"Air source heat pump, fan coil units, electric"
34,"Boiler and radiators, mains gas, Electric storage heaters"
35,Electric ceiling heating
36,"Air source heat pump, underfloor, electric, Boiler and radiators, mains gas"
37,"Boiler and radiators, anthracite"
38,"Boiler and underfloor heating, LPG"
39,"Boiler and radiators, wood logs"
40,"Room heaters, wood logs"
41,"Room heaters, smokeless fuel"
42,"Room heaters, coal"
43,"Boiler and radiators, mains gas, Boiler and radiators, mains gas"
44,"Boiler and radiators, bottled LPG, Boiler and radiators, bottled LPG"
45,"Boiler and underfloor heating, oil"
46,"Boiler and underfloor heating, wood pellets"
47,"Room heaters, dual fuel (mineral and wood)"
48,"Boiler, dual fuel (mineral and wood)"
49,"Room heaters, electric, Room heaters, electric"
50,"Room heaters, mains gas, Room heaters, mains gas"
51,"Boiler and radiators, smokeless fuel"
52,"Boiler and radiators, LPG, Room heaters, electric"
53,"Boiler and radiators, mains gas, Room heaters, electric"
54,"Community heat pump, electric"
55,Electric underfloor heating
56,Community heat pump
57,"Boiler and radiators, bottled LPG"
58,"Micro-cogeneration, mains gas"
59,"Boiler and radiators, mains gas, Boiler and underfloor heating, mains gas"
60,"Boiler, mains gas"
61,"Electric ceiling heating, electric"
