,0
0,Programmer and room thermostat
1,"Programmer, no room thermostat"
2,"Programmer, room thermostat and TRVs"
3,Time and temperature zone control
4,"Flat rate charging, TRVs"
5,No time or thermostatic control of room temperature
6,Programmer and at least two room thermostats
7,"Programmer, TRVs and bypass"
8,Room thermostat only
9,Manual charge control
10,None
11,Automatic charge control
12,SAP05:Main-Heating-Controls
13,"Programmer, TRVs and boiler energy manager"
14,No thermostatic control of room temperature
15,"Flat rate charging, programmer no room thermostat"
16,Programmer and appliance thermostats
17,TRVs and bypass
18,"Flat rate charging, programmer and TRVs"
19,"Unit charging, programmer and TRVs"
20,Appliance thermostats
21,Programmer and at least two room thermostats including a delayed start thermostat
22,"Flat rate charging, room thermostat only"
23,"Charging system linked to use of community heating, programmer and TRVs"
24,"Flat rate charging, no thermostatic control of room temperature"
25,"Flat rate charging, no stat control of room temperature"
26,Programmer and at least 2 room thermostats
27,"Flat rate charging, programmer, no room thermostat"
28,"Charging system linked to use of community heating, programmer and room thermostat"
29,"Charging system linked to the use of community heating, prog and TRVs"
30,Not relevant (supplies DHW only)
31,"Flat rate charging, programmer and room thermostat"
32,Celect-type controls
33,"Programmer, TRVs and flow switch"
34,"Charging system linked to use of community heating, room thermostat only"
35,"Charging system linked to use of community heating, TRVs"
36,"Flat rate charging, programmer and at least two room thermostats"
37,Programmer and room thermostats
38,"Charging system linked to use of community heating, programmer and at least two room thermostats"
39,Room thermostats only
40,No time or thermostatic control of room temp
41,"Charging system linked to the use of community heating, programmer and TRVs"
42,Controls for high heat retention storage heaters
43,"Flat rate charging, no thermostatic control"
44,Appliance thermostat and programmer
45,"Flat rate charging, programmer and room stat"
46,Not applicable (boiler provides DHW only)
47,"Rhaglennydd, dim thermostat ystafell"
48,Temperature zone control
49,2207 Time and temperature zone control
50,"Charging system linked to use of communit heating, programmer and room thermostat"
51,"Programmer, roomstat and TRVs"
52,"Delayed start thermostat, programmer and TRVs"
53,"Charging system linked to use of community heating, programmer?and TRVs"
54,"Rhaglennydd, thermostat ystafell a TRVs"
55,"Flat rate charging*, programmer and TRVs"
56,"Rhaglennydd, TRVs a falf osgoi"
57,TRVs a falf osgoi
58,Celect control
59,Thermostat ystafell yn unig
60,"Charging system linked to use of communit heating, TRVs"
61,Rhaglennydd a thermostat ystafell
62,"Charging system linked to use of communit heating, programmer and TRVs"
63,Celect controls
64,"Charging system linked to use of community heating, programmer and at least two room stats"
65,Delayed start thermostat and programmer
66,"Charging system linked to use of community heating, programmerand room thermostat"
67,"Thermostat, programmer and TRVs"
68,Rheolaeth amser a rheolaeth parthau tymheredd
69,Delayed start stat & program & TRV's
70,Flat rate charging TRVs
71,Programmer and at least two room thermostat
72,"Charging linked to use, programmer and TRVs"
73,Thermostat and programmer
74,"Charging system linked to use of communit heating, room thermostat only"
75,"TRV's, program & flow switch"
76,No time or thermostatic control of temperature
77,"Programmer, no thermostat"
78,SAP:Main-Heating-Controls
79,Rheoli’r tâl â llaw
80,CELECT-type controls
81,Rheoli'r t?l ? llaw
82,Time and temperature zone control by suitable arrangement of plumbing and electrical services
83,RheoliGÇÖr t+ól +ó llaw
84,Rhaglennydd a thermostatau ar y cyfarpar
85,Dim rheolaeth thermostatig ar dymheredd yr ystafell
86,Dim rheolaeth amser na rheolaeth thermostatig ar dymheredd yr ystafell
87,Delayed start programmer and at least two room thermostats
88,Programmer and delayed start thermostat
89,Appliance thermostat
90,????????????????
91,"Charging system linked to use of community heating, programmer"
92,Rheoli?r tal a llaw
93,"TÃ¢l un gyfradd, TRVs"
94,"T?l un gyfradd, dim rheolaeth thermostatig ar dymheredd yr ystafell"
95,???????????????????????????????????
96,????????????????????????????????????????????????
97,??????????????????????????????????????????????????????????
98,       
99,"System dalu wedi’i chysylltu â defnyddio gwres cymunedol, thermostat ystafell yn unig"
100,"System dalu wedi’i chysylltu â defnyddio gwres cymunedol, rhaglennydd a TRVs"
101,"Charging system linked to community heating use, programmer and TRVs"
102,Rheoli gwefr drydanol yn awtomatig
103,Dim
104,Rheoli'r tâl â llaw
105,Rhaglennydd ac o leiaf ddau thermostat ystafell
106,"Programmer, room thermostat and TRVs"
107,Programmer and room thermostat
108,"Programmer, no room thermostat"
109,Time and temperature zone control
110,No time or thermostatic control of room temperature
111,Manual charge control
112,None
113,Appliance thermostats
114,"Flat rate charging, TRVs"
115,"Flat rate charging, no stat control of room temperature"
116,Programmer and appliance thermostats
117,"Flat rate charging, no thermostatic control of room temperature"
118,"Charging system linked to use of community heating, programmer and TRVs"
119,"Programmer, TRVs and boiler energy manager"
120,"Flat rate charging, programmer, no room thermostat"
121,"Programmer, TRVs and bypass"
122,Automatic charge control
123,Programmer and at least two room thermostats
124,Room thermostat only
125,"Flat rate charging, room thermostat only"
126,"Flat rate charging, programmer no room thermostat"
127,SAP05:Main-Heating-Controls
128,No thermostatic control of room temperature
129,TRVs and bypass
130,"Charging system linked to use of community heating, room thermostat only"
131,"Unit charging, programmer and TRVs"
132,Programmer and at least 2 room thermostats
133,"Flat rate charging, programmer and TRVs"
134,"Flat rate charging, programmer and room thermostat"
135,Not relevant (supplies DHW only)
136,"Programmer, TRVs and flow switch"
137,"Charging system linked to use of community heating, TRVs"
138,"Charging system linked to use of community heating, programmer and room thermostat"
139,Programmer and room thermostats
140,Programmer and at least two room thermostats including a delayed start thermostat
141,"Charging system linked to the use of community heating, prog and TRVs"
142,"Charging system linked to use of community heating, programmer and at least two room thermostats"
143,Celect-type controls
144,Room thermostats only
145,Controls for high heat retention storage heaters
146,"Flat rate charging, programmer and at least two room thermostats"
147,No time or thermostatic control of room temp
148,"Charging system linked to the use of community heating, programmer and TRVs"
149,"Programmer, room thermostat and TRVs"
150,Programmer and room thermostat
151,"Programmer, no room thermostat"
152,Time and temperature zone control
153,No time or thermostatic control of room temperature
154,Manual charge control
155,None
156,Appliance thermostats
157,"Flat rate charging, TRVs"
158,"Flat rate charging, no stat control of room temperature"
159,Programmer and appliance thermostats
160,"Flat rate charging, no thermostatic control of room temperature"
161,"Charging system linked to use of community heating, programmer and TRVs"
162,"Programmer, TRVs and boiler energy manager"
