,0
0,natural
1,"mechanical, extract only"
2,"mechanical, supply and extract"
3,"['natural' 'mechanical, supply and extract' nan 'mechanical, extract only']"
4,"['natural' 'mechanical, supply and extract' nan 'mechanical, extract only']"
5,natural
6,"mechanical, supply and extract"
7,"mechanical, extract only"
8,natural
9,"mechanical, extract only"
10,"mechanical, supply and extract"
11,natural
12,"mechanical, extract only"
13,"mechanical, supply and extract"
14,natural
15,"mechanical, extract only"
16,"mechanical, supply and extract"
17,natural
18,"mechanical, extract only"
19,"mechanical, supply and extract"
20,natural
21,"mechanical, extract only"
22,"mechanical, supply and extract"
23,natural
24,"mechanical, extract only"
25,"mechanical, supply and extract"
26,natural
27,"mechanical, extract only"
28,"mechanical, supply and extract"
29,natural
30,"mechanical, extract only"
31,"mechanical, supply and extract"
32,natural
33,"mechanical, extract only"
34,"mechanical, supply and extract"
35,natural
36,"mechanical, extract only"
37,"mechanical, supply and extract"
38,
